order	stage	phase	primary_output	lead	reviewer	gate	status	completed_at
001	EOSB-001	inception	engineering/reviews/INCEPTION-REVIEW.md	ChatGPT	Human	inception-understood	PENDING	-
002	EOSB-002	inception	governance/terminology.md	ChatGPT	Human	canonical-language	PENDING	-
003	EOSB-003	vision	vision/problem-statement.md	ChatGPT	Human	problem-defined	PENDING	-
004	EOSB-004	vision	vision/product-vision.md	ChatGPT	Human	vision-defined	PENDING	-
005	EOSB-005	vision	vision/principles.md	ChatGPT	Human	principles-defined	PENDING	-
006	EOSB-006	vision	vision/goals.md	ChatGPT	Human	goals-and-non-goals	PENDING	-
007	EOSB-007	product	product/personas.md	ChatGPT	Human	users-understood	PENDING	-
008	EOSB-008	product	product/capabilities.md	ChatGPT	Human	capabilities-defined	PENDING	-
009	EOSB-009	requirements	product/product-requirements.md	ChatGPT	Human	requirements-baseline	PENDING	-
010	EOSB-010	requirements	product/constraints.md	ChatGPT	Human	constraints-baseline	PENDING	-
011	EOSB-011	architecture	architecture/quality-attributes.md	ChatGPT	Human	quality-baseline	PENDING	-
012	EOSB-012	architecture	architecture/context.md	ChatGPT	Human	context-and-boundaries	PENDING	-
013	EOSB-013	research	research/questions.md	ChatGPT	Human	uncertainty-explicit	PENDING	-
014	EOSB-014	architecture	architecture/overview.md	ChatGPT	Human	architecture-proposed	PENDING	-
015	EOSB-015	architecture	architecture/decisions/README.md	ChatGPT	Human	major-decisions-recorded	PENDING	-
016	EOSB-016	specifications	specifications/baseline.md	ChatGPT	Human	specification-baseline	PENDING	-
017	EOSB-017	planning	engineering/increments/PI-001.md	ChatGPT	Human	pi-defined	PENDING	-
018	EOSB-018	planning	engineering/work-cycles/WC-0001.md	ChatGPT	Human	wc-defined	PENDING	-
019	EOSB-019	planning	engineering/work-packets/WP-0001.md	ChatGPT	Human	wp-ready	PENDING	-
020	EOSB-020	readiness	engineering/reviews/PI-001-READINESS-REVIEW.md	ChatGPT	Human	implementation-authorization	PENDING	-
